Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1984","1984","1000 USD","270603","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1985","1985","t","104575","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1985","1985","1000 USD","221396","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1986","1986","t","78456","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1986","1986","1000 USD","223849","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1987","1987","t","141577","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1987","1987","1000 USD","479888","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1988","1988","t","171655","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1988","1988","1000 USD","509728","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1989","1989","t","154157","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1989","1989","1000 USD","522666","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1990","1990","t","67863","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1990","1990","1000 USD","252343","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1991","1991","t","135081","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1991","1991","1000 USD","460891","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1992","1992","t","159237","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1992","1992","1000 USD","556483","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1993","1993","t","111348","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1993","1993","1000 USD","406048","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1994","1994","t","111160","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1994","1994","1000 USD","395590","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1995","1995","t","138220","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1995","1995","1000 USD","583281","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1996","1996","t","118710","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1996","1996","1000 USD","437654","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1997","1997","t","138577","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1997","1997","1000 USD","479593","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1998","1998","t","135412","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1998","1998","1000 USD","481440","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","1999","1999","t","126409","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","1999","1999","1000 USD","385333","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2000","2000","t","118761","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2000","2000","1000 USD","322860","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2001","2001","t","113592","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2001","2001","1000 USD","293852","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2002","2002","t","99241","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2002","2002","1000 USD","285760","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2003","2003","t","124203","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2003","2003","1000 USD","396186","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2004","2004","t","131589","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2004","2004","1000 USD","446126","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2005","2005","t","116814","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2005","2005","1000 USD","403909","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2006","2006","t","133083","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2006","2006","1000 USD","412637","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2007","2007","t","143256","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2007","2007","1000 USD","575097","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2008","2008","t","123785","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2008","2008","1000 USD","523280","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2009","2009","t","120044","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2009","2009","1000 USD","388464","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2010","2010","t","134402","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2010","2010","1000 USD","558211","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2011","2011","t","163781","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2011","2011","1000 USD","807011","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2012","2012","t","142765","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2012","2012","1000 USD","552129","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2013","2013","t","156437","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2013","2013","1000 USD","738907","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2014","2014","t","145281","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2014","2014","1000 USD","666190","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2015","2015","t","179421.71","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2015","2015","1000 USD","616041","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2016","2016","t","187417.71","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2016","2016","1000 USD","610323","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2017","2017","t","200899.33","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2017","2017","1000 USD","1018985","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2018","2018","t","220803.1","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2018","2018","1000 USD","1298177","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2019","2019","t","258903.46","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2019","2019","1000 USD","1212422","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2020","2020","t","292885.07","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2020","2020","1000 USD","1125066","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2021","2021","t","277581.07","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2021","2021","1000 USD","1259379","A","Official figure",""
